rowname model jaccard
NT5023 NT5037 0.2981574539363484
NT5023 NT5038 0.390990990990991
NT5023 NT5040 0.39501779359430605
NT5023 NT5042 0.42710120068610635
NT5023 NT5044 0.30278884462151395
NT5023 NT5045 0.38698010849909587
NT5023 NT5046 0.3513986013986014
NT5023 NT5048 0.3420593368237347
NT5023 NT5049 0.3511326860841424
NT5023 NT5051 0.38308457711442784
NT5023 NT5052 0.36974789915966383
NT5023 NT5068 0.35213675213675216
NT5023 NT5072 0.4194690265486726
NT5023 NT5074 0.3404255319148936
NT5023 NT5075 0.3591549295774648
NT5023 NT5076 0.2970639032815199
NT5023 NT5077 0.4046961325966851
NT5023 YK0001 0.3142361111111111
NT5023 YK0002 0.3540587219343696
NT5024 NT5001 0.35702479338842974
NT5024 NT5002 0.3649754500818331
NT5024 NT5003 0.3576051779935275
NT5024 NT5004 0.3634920634920635
NT5024 NT5005 0.4066666666666667
NT5024 NT5006 0.39593908629441626
NT5024 NT5007 0.5295169946332737
NT5024 NT5008 0.3576271186440678
NT5024 NT5009 0.3872549019607843
NT5024 NT5011 0.37333333333333335
NT5024 NT5013 0.38793103448275856
NT5024 NT5014 0.4147627416520211
NT5024 NT5019 0.35858585858585856
NT5024 NT5020 0.40034965034965037
NT5024 NT5021 0.33797909407665505
NT5024 NT5022 0.42286751361161523
NT5024 NT5023 0.38344594594594594
NT5024 NT5024 0
NT5024 NT5025 0.46206896551724136
NT5024 NT5026 0.3768996960486322
NT5024 NT5032 0.3831932773109244
NT5024 NT5037 0.3620414673046252
NT5024 NT5038 0.39145907473309605
NT5024 NT5040 0.38977072310405647
NT5024 NT5042 0.4736842105263158
NT5024 NT5044 0.4365942028985507
NT5024 NT5045 0.3903743315508022
NT5024 NT5046 0.39123102866779086
NT5024 NT5048 0.3711864406779661
NT5024 NT5049 0.3440514469453376
NT5024 NT5051 0.3702479338842975
NT5024 NT5052 0.3595317725752508
NT5024 NT5068 0.3558178752107926
NT5024 NT5072 0.44406196213425125
NT5024 NT5074 0.3360389610389611
NT5024 NT5075 0.3962585034013606
NT5024 NT5076 0.36288998357963875
NT5024 NT5077 0.3872752420470263
NT5024 YK0001 0.3714759535655058
NT5024 YK0002 0.4325203252032521
NT5025 NT5001 0.46488294314381273
NT5025 NT5002 0.4590984974958264
NT5025 NT5003 0.4323873121869783
NT5025 NT5004 0.4521880064829822
NT5025 NT5005 0.4229390681003585
NT5025 NT5006 0.4483985765124555
NT5025 NT5007 0.5109780439121756
NT5025 NT5008 0.47350427350427354
NT5025 NT5009 0.42114384748700173
NT5025 NT5011 0.4210526315789474
NT5025 NT5013 0.4550359712230216
NT5025 NT5014 0.40847784200385356
NT5025 NT5019 0.4473229706390328
NT5025 NT5020 0.38653846153846155
NT5025 NT5021 0.46234676007005254
NT5025 NT5022 0.5395948434622467
NT5025 NT5023 0.4810344827586207
NT5025 NT5024 0.46206896551724136
NT5025 NT5025 0
NT5025 NT5026 0.4667697063369397
NT5025 NT5032 0.40360360360360364
NT5025 NT5037 0.4611650485436894
NT5025 NT5038 0.4945454545454545
NT5025 NT5040 0.4726277372262774
NT5025 NT5042 0.5104895104895105
NT5025 NT5044 0.5452865064695009
NT5025 NT5045 0.4797794117647059
